id,description,time,distance,frc,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,latitude,longitude,precip_mm,vis_km,wind_kph,condition_text,delay_time,hour,date,distance_bin,time_slot,condition_text_vn,precip_mm_bin,wind_kph_bin,vis_km_bin,x_img,y_img
1854,Từ Ngã Sáu Cộng Hòa đến An Dương Vương,2025-07-22 06:54:00,500,FRC3,21,32,1195,784,1,False,10.765163027177051,106.68176325830919,0.0,10.0,29.2,Light rain,411,6,2025-07-22,Trung bình,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),436.28000000000003,78.0
1855,Từ Ngã Sáu Cộng Hòa đến An Dương Vương,2025-07-22 06:54:00,400,FRC3,21,32,1195,784,1,False,10.764283334954333,106.68210132878986,0.0,10.0,29.2,Light rain,411,6,2025-07-22,Trung bình,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),452.81600000000003,115.15199999999999
1856,Từ Ngã Sáu Cộng Hòa đến An Dương Vương,2025-07-22 06:54:00,300,FRC3,21,32,1195,784,1,False,10.763480856227291,106.68240386571111,0.0,10.0,29.2,Light rain,411,6,2025-07-22,Trung bình,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),469.35200000000003,152.30400000000003
1857,Từ Ngã Sáu Cộng Hòa đến An Dương Vương,2025-07-22 06:54:00,200,FRC3,21,32,1195,784,1,False,10.762642918836454,106.6827364596283,0.0,10.0,29.2,Light rain,411,6,2025-07-22,Gần,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),485.88800000000003,185.328
1858,Từ Ngã Sáu Cộng Hòa đến An Dương Vương,2025-07-22 06:54:00,100,FRC3,21,32,1195,784,1,False,10.7619261906941,106.68302613820323,0.0,10.0,29.2,Light rain,411,6,2025-07-22,Gần,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),496.91200000000003,218.352
1859,Từ Ngã Sáu Cộng Hòa đến An Dương Vương,2025-07-22 06:54:00,0,FRC3,21,32,1195,784,1,False,10.761156760056346,106.68331581677815,0.0,10.0,29.2,Light rain,411,6,2025-07-22,,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),513.4480000000001,251.37600000000003
1860,Từ Cầu Nguyễn Văn Cừ đến An Dương Vương,2025-07-22 06:54:00,700,FRC2,25,34,636,467,1,False,10.755556817425111,106.68578400873503,0.0,10.0,29.2,Light rain,169,6,2025-07-22,Xa,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),629.2,490.8
1861,Từ Cầu Nguyễn Văn Cừ đến An Dương Vương,2025-07-22 06:54:00,600,FRC2,25,34,636,467,1,False,10.756358876280022,106.6853232069683,0.0,10.0,29.2,Light rain,169,6,2025-07-22,Xa,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),607.1519999999999,457.77600000000007
1862,Từ Cầu Nguyễn Văn Cừ đến An Dương Vương,2025-07-22 06:54:00,500,FRC2,25,34,636,467,1,False,10.757138847709548,106.684944289696,0.0,10.0,29.2,Light rain,169,6,2025-07-22,Trung bình,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),590.616,424.752
1863,Từ Cầu Nguyễn Văn Cừ đến An Dương Vương,2025-07-22 06:54:00,400,FRC2,25,34,636,467,1,False,10.757963133528543,106.68463303622572,0.0,10.0,29.2,Light rain,169,6,2025-07-22,Trung bình,6:00 - 7:59,Mưa nhẹ,Không mưa (0),Gió mạnh (> 20),Trung bình (6 - 10),574.08,387.6
